,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
320,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
321,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
322,BSK,"5,100","₹1,617",Action CameraAction Camera,16,No,68,
323,MUGO,"16,999","₹2,297",with CameraWiFi Camera,,Yes,86,
324,Mynxe,"19,999","₹4,999",WiFi Camera,,Yes,75,
325,FUJIFILM,"11,99","₹11,795",11 CameraInstant Camera,,No,91,4.6
326,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
327,Wincomm,"3,999","₹1,499",Action Camera,16,Yes,62,2
328,DRONE,"9,999","₹2,499",,,No,75,
329,TechKing,"7,999","₹2,599",Dual Camera,2,No,67,
330,Qaz,"3,999","₹1,187",,12,No,70,2.4
331,Ricoh,"27,995","₹17,999",Degree Camera,14,No,35,4.1
332,Insta360,"30,990","₹24,699",,9,No,20,4.1
333,AVOIHS,"2,000",₹899,Sports Camera,8,No,55,3
334,spectre,"19,999","₹4,599",,,No,77,3.4
335,Fourbrother,"19,999","₹4,999",,,No,75,3
336,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
337,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
338,Canon,"3,65,995","₹2,39,990",Mirrorless Camera,45,Yes,34,3
339,Enfogo,"7,000","₹1,717",,16,No,75,
340,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
341,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
342,FELCRONIXS,"2,000",₹806,Spy Camera,12,No,59,2
343,Pentax,"1,39,995","₹1,15,899",DSLR Camera,25,Yes,17,
344,Fitspark,"17,990","₹9,764",,16,No,45,3.7
345,FUJIFILM,"8,999","₹6,995",,,No,22,4.3
346,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
347,SONY,"1,72,990","₹1,53,990",Mirrorless Camera,27,Yes,10,
348,Magicwand,"6,999","₹2,999",,,No,57,
349,MUGO,"16,999","₹2,267",WiFi Camera,,Yes,86,
350,NIKON,"2,21,995","₹1,81,999",Mirrorless Camera,25,Yes,18,
351,Cospex,"3,999",₹999,Digital CameraPortable Camera,5,No,75,3.2
352,RECTITUDE,"6,999","₹2,348",Dual Camera,,No,66,2.8
353,Insta360,"54,990","₹40,990",,9,No,25,
354,SIOVS,"2,899",₹699,,12,No,75,
355,DRONE,"9,999","₹2,499",WiFi Camera,,Yes,75,
356,SJCAM,"4,400","₹2,549",,5,No,42,4.3
357,AIElectro,"14,999","₹3,375",,,No,77,3.5
358,First,"2,999","₹1,199",Action CameraVlogging CameraAction Camera,12,No,60,3.6
359,Swa,"8,999","₹2,699",Dual Camera,,No,70,
360,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
361,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
362,NIKON,"1,34,99","₹1,29,990",DSLR Camera,24,Yes,93,4.4
363,IC,"3,000","₹1,103",,1080,No,63,3.7
364,SONY,"1,99,99","₹1,87,989",Mirrorless Camera,20,Yes,06,5
365,Panasonic,,,,,No,,
366,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
367,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
368,pompeo,"19,999","₹4,999",HD Camera,,No,75,2.6
369,alis,"19,999","₹4,999",Dual Camera,,Yes,75,
370,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
371,Bzrqx,"2,999",₹799,Spy CameraHidden Camera,12,Yes,73,3.3
372,Swa,"8,999","₹3,399",With Camera,,No,62,
373,SONY,"2,43,990","₹1,90,487",Mirrorless Camera,12,Yes,21,4.3
374,Raptas,"3,999",₹999,Digital CameraPortable Camera,5,No,75,2.9
375,FUJIFILM,"2,74,998","₹1,89,990",Mirrorless Camera,26,Yes,30,4.4
376,NIKON,"94,495","₹81,999",Mirrorless Camera,20,Yes,13,4.3
377,VECTOBOT,"5,999","₹1,699",Action CameraAction Camera,16,No,71,
378,SIOVS,"2,999",₹699,Spy CameraHidden Camera,12,Yes,76,
379,DRONEBOX,"9,999","₹4,999",GPS Camera,,No,50,3.4
380,FUJIFILM,"10,999","₹9,499",,,No,13,4.4
381,Richuzers,"2,990",₹999,Digital Camera,3,No,66,2.7
382,DAHUA,"6,999","₹1,755",Action CameraAction Camera,20,No,74,
383,Supreno,"2,499","₹1,983",,1080,No,20,3.2
384,Ricoh,"27,995","₹17,999",Degree Camera,14,No,35,4.1
385,Suroskie,"2,500","₹1,259",Action CameraAction Camera,12,No,49,2.9
386,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
387,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
388,Drone,"9,999","₹2,999",1080P Camera,,No,70,
389,DRONE,"9,999","₹2,499",Dual Camera,,No,75,
390,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
391,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
392,PRONOVA,"19,999","₹4,999",,,No,75,3.3
