,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
139,Canon,"1,65,995","₹1,25,990",,,No,24,
140,DIGIBUDS,"9,999","₹2,279",WiFi Camera,,Yes,77,3.2
141,SJCAM,"17,200","₹9,999",Action Camera,16,No,41,4.1
142,MUGO,"16,999","₹2,465",With Camera,,No,85,3.4
143,Swa,"8,999","₹3,199",Drone Camera,,No,64,
144,Adofys,"7,999","₹3,589",Print CameraVideo CameraInstant Camera,,No,55,4.8
145,Dwiza,"6,999","₹2,499",Instant CameraKids Camera,,No,64,
146,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
147,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
148,Drone,"9,999","₹2,999",,,No,70,
149,Alburak,"9,999","₹1,576",,1080,No,84,
150,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
151,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
152,FUJIFILM,"16,999","₹12,499",,,No,26,4.5
153,PICSTAR,"17,999","₹9,999",,,No,44,
154,zoyo,"19,999","₹4,999",Drone Camera,,No,75,3.4
155,MUGO,"16,999","₹2,519",,,No,85,3.1
156,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
157,TOTAL,"29,999","₹6,999",,56,No,76,
158,FUJIFILM,"20,999","₹15,999",,,No,23,
159,Canon,"2,71,995","₹1,99,990",Mirrorless Camera,24,Yes,26,4.5
160,SONY,"3,34,990","₹2,96,989",Mirrorless Camera,12,Yes,11,4.2
161,PTCMart,"7,999","₹2,899",With Camera,,No,63,
162,Insta360,"54,990","₹40,990",,9,No,25,
163,Toyrist,"5,999","₹1,999",,,No,66,3.7
164,samar,"9,999","₹2,199",Drone Camera,,No,78,2.2
165,SONY,"75,990","₹61,487",Mirrorless Camera,24,Yes,19,4.5
166,SONY,"2,04,990","₹1,54,987",Mirrorless Camera,42,Yes,24,4.5
167,GoPro,"44,99","₹42,490",,27,No,05,
168,PMR,"1,500",₹599,,,No,60,3.4
169,AVOIHS,"2,000",₹899,Kids CameraColorfull Camera,8,No,55,3.7
170,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
171,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
172,Bzrqx,"2,899",₹686,Spy CameraWiFi Camera,12,Yes,76,3.7
173,TOTAL,"14,999","₹6,999",,44,No,53,
174,Campro,"4,000","₹1,274",Action CameraBiker CameraAction Camera,3,No,68,2.8
175,MUGO,"16,999","₹2,182",,,No,87,
176,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
177,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
178,Drone,"9,999","₹2,999",Dual Camera,,No,70,
179,mytechvision,"18,999","₹11,999",,,No,36,
180,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
181,Lapvious,"9,999","₹3,299",,,No,67,2.9
182,Canon,"39,995","₹25,990",,15,No,35,4
183,gupta,"5,999","₹1,329",Sports Camera,12,No,77,
184,MUGO,"16,999","₹2,519",,,No,85,3.1
185,Swa,"8,999","₹3,249",,,No,63,
186,SJCAM,"19,800","₹9,999",,16,No,49,
187,FUJIFILM,"8,999","₹6,995",,,No,22,4.3
188,SJCAM,"7,800","₹4,999",Action Camera,15,No,35,3.6
189,NIKON,"1,11,995","₹84,999",Mirrorless Camera,24,Yes,24,4.7
190,Alburak,"9,999","₹1,576",,1080,No,84,
191,TOTAL,"19,999","₹6,999",,44,No,65,
192,Elevea,"5,000","₹1,619",Action CameraWaterproof Camera,16,No,67,
193,MUGO,"16,999","₹2,162",HD Camera,,No,87,
194,FUJIFILM,"11,499","₹7,499",,,No,34,4.4
195,Qiwa,"9,999","₹8,428",Action CameraAction Camera,12,Yes,15,
196,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
197,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
198,DRONEX,"9,999","₹2,599",HD Camera,,Yes,74,3.4
199,KOOLCRAFTS,"7,000","₹1,614",,16,Yes,76,3
200,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
201,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
202,Enfogo,"7,000","₹1,665",,16,No,76,3.1
203,Toyrist,"5,999","₹2,299",,,No,61,3.6
204,COMPOID,"25,999","₹4,999",,,No,80,
205,TR,"9,999","₹4,999",WiFi Camera,,Yes,50,
206,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
207,dkian,"3,999","₹2,329",,20,No,41,3.7
208,Exxelo,"4,999","₹2,599",Vehicle CameraAction Camera,16,No,48,4
209,SONY,"64,990","₹51,988",Mirrorless Camera,24,Yes,20,4.6
210,Drone,"9,999","₹2,999",HD Camera,,Yes,70,
211,PICSTAR,"11,999","₹6,999",HD Camera,,No,41,
212,SONY,"1,46,990","₹1,27,489",Mirrorless Camera,24,Yes,13,4.4
213,D,"1,599",₹899,Digital CameraDigital Camera,1080,No,43,3.9
214,DRONEBOX,"9,999","₹4,999",WiFi Camera,,Yes,50,3.3
215,Exxelo,"7,000","₹1,709",Dash CameraVideo CameraAction Camera,16,No,75,3.6
216,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
217,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
218,Drone,"9,999","₹2,999",With Camera,,No,70,
219,MAYURI,"13,999","₹4,999",Dual Camera,,Yes,64,2.8
220,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
221,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
222,IZI,"54,990","₹23,749",,12,Yes,56,
223,MUGO,"16,999","₹2,267",Wifi Camera4K Camera,,No,86,
224,Drone,"9,999","₹2,199",Dual Camera,,Yes,78,3.1
225,First,"2,999","₹1,199",Action Camera,12,No,60,
226,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
227,GoPro,"23,990","₹19,990",,12,No,16,3.3
